"participant","alpha","beta","gamma","SSE"
34,0.570463210439763,0.439639300742068,0.559822898408208,2.96589205707472
35,0.463872942729279,0.668065887001157,0.0805000089293663,1.35336478866906
36,0.48117720407917,0.895033157669856,0.198765541764863,1.13229021402769
37,0.550855216387312,0.367930889207349,0.329296002518835,0.553923799003653
38,0.483626528911377,0.931248661446177,0.0665034453648949,0.94554611806737
39,0.458551324116383,0.908156572748312,0.0338097633319666,1.46571788476143
40,0.646802530464472,0.465531529305972,0.563694171060871,0.871820482975118
41,0.536531398962278,0.130289923693705,0.0821407125392537,0.516089619586749
42,0.480822910895905,0.0339334925103223,0.769497980734651,0.330519619411092
43,0.50133871492536,0.675102514982481,0.0238978926656446,0.321024875149205
44,0.252836999756222,0.379551535261588,0.803490091444563,1.50447656466308
45,0.652201472548515,0.176350126433028,0.843999105588716,0.608762382174626
46,0.428007855343973,0.488614335337651,0.507274609148372,1.62295897706518
47,0.41552222734461,0.589901094188871,0.679242934540929,3.17048794531865
48,0.341967312175571,0.5160357002398,0.771016682241928,4.98687092942808
49,0.408564171288619,0.776780819310422,0.188179473252944,2.87272813157242
50,0.477067822446351,0.323567989564285,0.853798963626645,0.926104490294878
51,0.471525572215764,0.902798048212031,0.0737770605528641,0.651254662188407
52,0.639670984771856,0.731690336040928,1.11706673034947e-16,0.934143313023324
53,0.646862347397994,0.104998690994434,0.988589405043785,0.252068460557877
54,0.507140653341288,0.282861157592825,0.944863230338199,1.35976888256869
55,0.460987891060187,0.76747806420976,0.490355722080223,1.61941045471557
56,0.492625500223578,0.406991043599947,9.47442594092433e-16,0.450481169727429
57,0.387191553329252,0.0150296017410302,0.829682880969253,0.413131884710499
58,0.518154049524674,0.781310631078886,6.18230785814058e-16,1.37069783448232
59,0.494975738290298,0.793228042387983,0.123385685337805,3.02205407304158
60,0.33068939919882,0.506781658602328,0.114413584130407,4.22485385612796
61,0.479737789557124,0.438329129922997,0.443189019443067,1.47355428156573
62,0.409341189521841,0.96318707211002,0.124915114126199,2.40365993149712
63,0.487779834282994,0.617218593469052,0.138375245209152,1.42913326356627
64,0.465471735530564,0.736861962659413,0.297534063728803,1.99420311363191
65,0.469709439898257,1.01124906217419,0.0538496435576882,1.04278954799466
66,0.488697039677592,0.833918805263044,1.72787867061087e-16,0.29852126941418
67,0.500219772054663,1.08256435237952,2.37600223828022e-17,2.4778037832244
68,0.499818096654669,0.699172144541279,0.027827987158971,0.63937959701898
69,0.452980526829097,0.783738371656768,0.19777924765554,2.24475135294021
70,0.535720554131585,0.975016818801029,0.0506045445916698,2.84240437985099
